ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
1    LG        299€     INTEL_CORE_I5   12GB      500GB               
2    DELL      999€     AMD_RYZEN_3     16GB      450GB               
3    MICROSOFT 899€     PENTIUM_G5400   8GB       1500GB              
4    LG        299€     AMD_RYZEN_5     8GB       500GB               
5    ASUS      499€     INTEL_CORE_I3   12GB      600GB               
6    TOSHIBA   749€     INTEL_CORE_I7   8GB       2000GB              
7    HP        1399€    AMD_RYZEN_3     12GB      1500GB              
8    ACER      949€     INTEL_CORE_I3   12GB      500GB               
9    TOSHIBA   1299€    INTEL_CORE_I5   4GB       550GB               
10   SAMSUNG   1399€    AMD_RYZEN_3     16GB      550GB               
11   TOSHIBA   1499€    AMD_RYZEN_7     8GB       1000GB              
12   MSI       899€     AMD_RYZEN_7     16GB      1500GB              
13   MSI       599€     INTEL_CORE_I7   8GB       900GB               
14   LENOVO    799€     INTEL_CORE_I5   8GB       750GB               
15   ACER      849€     AMD_RYZEN_5     16GB      1000GB              
16   ACER      999€     PENTIUM_G5400   16GB      700GB               
17   ACER      1399€    AMD_RYZEN_3     8GB       800GB               
18   TOSHIBA   1199€    AMD_RYZEN_7     16GB      350GB               
19   TOSHIBA   899€     INTEL_CORE_I9   16GB      800GB               
20   LENOVO    499€     PENTIUM_G5400   16GB      700GB               
21   DELL      749€     INTEL_CORE_I3   12GB      950GB               
22   ASUS      749€     INTEL_CORE_I7   8GB       700GB               
23   ASUS      1099€    INTEL_CORE_I5   4GB       550GB               
24   LENOVO    599€     INTEL_CORE_I3   12GB      300GB               
25   ASUS      749€     PENTIUM_G5400   16GB      900GB               
26   LENOVO    949€     AMD_RYZEN_3     12GB      750GB               
27   TOSHIBA   299€     AMD_RYZEN_7     12GB      2000GB              
28   TOSHIBA   949€     INTEL_CORE_I9   12GB      650GB               
29   INSYS     299€     AMD_RYZEN_5     16GB      400GB               
30   MICROSOFT 499€     PENTIUM_G5400   12GB      1000GB              
31   LENOVO    399€     AMD_RYZEN_7     16GB      350GB               
32   ASUS      649€     INTEL_CORE_I9   8GB       1000GB              
33   MICROSOFT 649€     INTEL_CORE_I9   8GB       850GB               
34   HP        749€     AMD_RYZEN_7     8GB       500GB               
35   ACER      449€     PENTIUM_G5400   16GB      750GB               
36   DELL      1199€    AMD_RYZEN_7     4GB       450GB               
37   SAMSUNG   999€     INTEL_CORE_I9   16GB      600GB               
38   ACER      849€     AMD_RYZEN_7     12GB      650GB               
